model,domain,position,K,drci_truncated,drci_std,ratio_to_true,sim_trunc_true,sim_std,drci_true,cud_90_drci,cud_90_sim
deepseek_v3_1,medical,30,1,0.8288512732088565,0.0559774375780216,1.0148078172540482,0.6513793230056762,0.051243493060722546,0.8213888494297862,1,>29
deepseek_v3_1,medical,30,5,0.8203841473162174,0.07130663422805009,1.0022225089802754,0.7877019429206848,0.04190440380436194,0.8213888494297862,1,>29
deepseek_v3_1,medical,30,10,0.8769158035609871,0.05773053284166303,1.0732992539047073,0.7549425828456878,0.05856791958434373,0.8213888494297862,1,>29
deepseek_v3_1,medical,30,15,0.8439865960367023,0.06562351198251223,1.0324522868437809,0.7921922707557678,0.05225602656299085,0.8213888494297862,1,>29
deepseek_v3_1,medical,30,20,0.8421449165791273,0.05718482461291922,1.030457403969756,0.8160922122001648,0.056092395903386875,0.8213888494297862,1,>29
deepseek_v3_1,medical,30,29,0.8262138616945595,0.07760716377774679,1.0085670415521433,0.8520459389686584,0.06178497842017068,0.8213888494297862,1,>29
deepseek_v3_1,philosophy,15,1,0.2616950571537018,0.0640318555559031,1.236572268911404,0.7906752049922943,0.0633191352455595,0.22066909790039063,1,>14
deepseek_v3_1,philosophy,15,3,0.2620371174812317,0.06645285674417477,1.2453250458380904,0.7798085057735443,0.06620890156233822,0.22066909790039063,1,>14
deepseek_v3_1,philosophy,15,5,0.2671377408504486,0.0790867195386164,1.2616707796293836,0.7903061544895172,0.06701293436300867,0.22066909790039063,1,>14
deepseek_v3_1,philosophy,15,7,0.24845539212226866,0.054425686860936226,1.1655040099811131,0.8129851388931274,0.05361116823932149,0.22066909790039063,1,>14
deepseek_v3_1,philosophy,15,10,0.24125684142112733,0.05956249349159566,1.1297988576767342,0.8166461122035981,0.05437227505953164,0.22066909790039063,1,>14
deepseek_v3_1,philosophy,15,14,0.22951314091682434,0.06003096054078112,1.0569342719815964,0.8505181908607483,0.051486050839116844,0.22066909790039063,1,>14
